city_id:,city_name,longitude,latitude,weather,description,weather_main,weather_icon,weather_base,weather_temperature,weather_feel_like,min_temperature,max_temperature,pressure,humidity,sea_level,ground_level,visibility,wind_speed,wind_deg,wind_gust,cloudiness,sunrise_time,sunset_time,timezone
1270396,Howrah,88.3103,22.5892,721,haze,haze,50d,stations,302.15,301.67,302.15,302.15,1011,39,1011,None,None,3.6,340,None,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1269843,Hyderabad,78.4744,17.3753,721,haze,haze,50d,stations,293.38,293.23,293.38,294.88,1015,68,1015,None,None,2.57,100,None,20,12/24/22 AM,12/24/22 PM,01/01/70 AM
1242833,Jaffna,80.0074,9.6685,804,overcast clouds,Clouds,04d,stations,299.41,299.41,299.41,299.41,1008,79,1008,None,None,7.72,356,10.18,87,12/24/22 AM,12/24/22 PM,01/01/70 AM
1269515,Jaipur,75.8167,26.9167,800,clear sky,clear ,01d,stations,293.77,292.57,293.77,293.77,1017,26,1017,None,None,3.6,70,None,1,12/24/22 AM,12/24/22 PM,01/01/70 AM
1269557,Jehanabad,84.9874,25.2113,800,clear sky ,clear,01d,stations,296.03,294.95,296.03,296.03,1012,22,1012,None,None,1.97,7,1.41,2,12/24/22 AM,12/24/22 PM,01/01/70 AM
1268293,Kalyani,88.4833,22.9833,800,clear sky,clear,01d,stations,302.1,300.63,302.1,302.1,1011,22,1011,None,None,3.17,310,4.43,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1241622,Kandy,80.6356,7.2955,803,broken clouds,Clouds,04d,stations,298.27,299,298.27,298.27,1009,83,1009,None,None,2.07,314,2.9,63,12/24/22 AM,12/24/22 PM,01/01/70 AM
1267995,Kanpur,80.35,26.4667,800,clear sky,clear,01n,stations,290.41,289,290.41,290.41,1013,31,1013,None,None,2.06,275,2.08,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1275004,Kolkata,88.3697,22.5697,721,haze,Haze,50d,stations,302.12,301.64,302.12,302.12,1011,39,1011,None,None,3.6,340,None,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1266049,Kota,75.8333,25.1833,800,clear sky,clear,01d,stations,296.02,295.15,296.02,296.02,1014,30,1014,None,None,3.74,19,3.61,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1265683,Kumbakonam,79.3833,10.9667,803,broken clouds,Clouds,04d,stations,301.86,304.14,301.86,301.86,1008,63,1008,None,None,6.79,8,8.37,83,12/24/22 AM,12/24/22 PM,01/01/70 AM
1265911,Kurichi,76.5251,9.501,803,broken clouds,Clouds,04d,stations,305.93,310.78,305.93,305.93,1008,56,1008,None,None,3.31,271,2.09,57,12/24/22 AM,12/24/22 PM,01/01/70 AM
1264733,Lucknow,80.9167,26.85,721,haze,Haze,50d,stations,297.14,296.98,297.14,297.14,1013,53,1013,None,None,2.06,50,None,1,12/24/22 AM,12/24/22 PM,01/01/70 AM
1264728,Ludhiana,75.85,30.9,800,clear sky,clear,01d,stations,292.17,290.75,292.17,292.17,1016,24,1016,None,None,4.12,310,4.31,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1266209,Madavaram,80.6469,16.7579,801,few clouds,Clouds,02d,stations,301.96,300.72,301.96,301.96,1011,27,1011,None,None,3.75,70,4.65,20,12/24/22 AM,12/24/22 PM,01/01/70 AM
1264521,Madurai,78.1167,9.9333,721,haze,Haze,50d,stations,306.16,305.96,306.16,306.16,1009,35,1009,None,None,4.12,10,None,13,12/24/22 AM,12/24/22 PM,01/01/70 AM
1263214,Meerut,77.7,28.9833,800,clear sky,clear,01d,stations,294.46,293.12,294.46,294.46,1014,18,1014,None,None,3.78,294,4.08,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1275339,Mumbai,72.8479,19.0144,711,smoke,smoke,50d,stations,303.14,301.38,301.09,303.14,1011,20,1011,None,None,4.63,300,None,19,12/24/22 AM,12/24/22 PM,01/01/70 AM
1262321,Mysore,76.6497,12.3072,803,broken clouds,Clouds,04d,stations,301.15,300.25,301.15,301.15,1014,30,1014,None,None,2.57,350,None,68,12/24/22 AM,12/24/22 PM,01/01/70 AM
1262216,Nagaur,73.7333,27.2,800,clear sky,Clear,01d,stations,294.62,293.16,294.62,294.62,1016,13,1016,None,None,4.06,37,4.36,4,12/24/22 AM,12/24/22 PM,01/01/70 AM
1262209,Nagda,75.4167,23.45,800,clear sky ,clear,01d,stations,296.83,295.91,296.83,296.83,1013,25,1013,None,None,2.67,14,2.22,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1262204,Nagercoil,77.4333,8.1667,802,scattered clouds,Clouds,03d,stations,302.45,304.87,302.45,302.45,1008,61,1008,None,None,2.97,213,3.12,36,12/24/22 AM,12/24/22 PM,01/01/70 AM
1262180,Nagpur,79.1,21.15,721,haze,Haze,50d,stations,302.16,301.95,302.16,302.16,1013,42,1013,None,None,4.12,220,None,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1261731,Nashik,73.8,19.9833,800,clear sky,clear,01d,stations,300.27,299.37,300.27,300.27,1012,22,1012,None,None,1.11,189,2.52,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
6619347,Navi Mumbai,73.0158,19.0368,711,smoke,smoke,50d,stations,303.12,301.08,303.12,303.12,1011,20,1011,None,None,0,0,None,30,12/24/22 AM,12/24/22 PM,01/01/70 AM
1253080,Neyveli,79.4824,11.536,804,overcast clouds,Clouds,04d,stations,301.35,303.27,301.35,301.35,1009,63,1009,None,None,6.89,7,8.29,100,12/24/22 AM,12/24/22 PM,01/01/70 AM
1260086,Patna,85.1167,25.6,701,mist,mist,50d,stations,297.11,296.87,297.11,297.11,1012,50,1012,None,None,1.54,70,None,40,12/24/22 AM,12/24/22 PM,01/01/70 AM
1259652,Pimpri-Chinchwad,73.801,18.6279,802,scattered clouds,Clouds,03d,stations,302.69,301.26,302.69,302.69,1011,26,1011,None,None,0.66,195,2.48,26,12/24/22 AM,12/24/22 PM,01/01/70 AM
1259424,Puducherry,79.8167,11.9333,721,haze,Haze,50d,stations,303.37,304.21,303.37,303.37,1009,48,1009,None,None,4.12,40,9.26,40,12/24/22 AM,12/24/22 PM,01/01/70 AM
1259297,Pudukkottai,78.8167,10.3833,802,scattered clouds,Clouds,03d,stations,304.07,306.03,304.07,304.07,1008,52,1008,None,None,5.75,10,6.98,37,12/24/22 AM,12/24/22 PM,01/01/70 AM
1259229,Pune,73.8553,18.5196,802,scattered Clouds,Clouds,03d,stations,303.17,301.61,303.17,303.17,1011,25,1011,None,None,0.05,298,2.4,40,12/24/22 AM,12/24/22 PM,01/01/70 AM
1258980,Raipur,81.6333,21.2333,721,haze,Haze,50d,stations,303.23,301.57,303.23,303.23,1012,23,1012,None,None,2.06,150,None,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
